Date,NVDA_Open,NVDA_Low,NVDA_Close,NVDA_AdjClose,MSFT_Open,MSFT_High,MSFT_Low,MSFT_AdjClose,GOOGL_Open,GOOGL_Low,GOOGL_Close,GOOGL_AdjClose,Gold_open,Gold_high,Gold_low,SP500_open,SP500_high,NASDAQ_open,NASDAQ_high,NASDAQ_low,NASDAQ_close,FTSE100_Price,FTSE100_High,STOXX_High,STOXX_Low,STOXX_Close,STOXX_AdjClose,NSEI_Open,NSEI_Close,NSEI_AdjClose,N225_Open,N225_High,N225_Low,N225_Close,N225_AdjClose,HSI_Open,HSI_Low,HSI_Close,HSI_AdjClose,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_AdjClose,USD_GBP_Open,USD_GBP_Low,USD_EUR_Low,USD_EUR_Close,USD_EUR_AdjClose
2013-01-31,0.308,0.3045,0.3065,0.282944,27.790001,27.969999,27.4,22.353848,18.781532,18.775024,18.911161,18.889482,1675.40002441406,1680.0,1657.40002441406,1501.96,1504.1899,2736.1299,2751.1101,2730.0701,2731.53,6276.88,6323.11,2730.51001,2702.97998,2702.97998,2703.0,6045.649902,6034.75,6035,11057.5,11145.379883,11007.769531,11138.660156,11139.0,23799.169922,23667.939453,23729.529297,23730,16.320715,16.402857,16.249287,16.2675,14,0.633,0.63086,0.735835,0.73701,0.73701
2013-02-01,0.309,0.3065,0.30925,0.285482,27.67,28.049999,27.549999,22.744722,18.973974,18.971472,19.409409,19.387157,1663.90002441406,1681.19995117188,1659.90002441406,1498.11,1514.41,2751.1899,2768.6299,2740.6499,2763.96,6347.24,6353.95,2718.560059,2696.639893,2710.080078,2710.0,6040.950195,5998.899902,5999,11193.719727,11237.839844,11142.259766,11191.339844,11191.0,23763.339844,23571.300781,23721.839844,23722,16.396786,16.41,16.012501,16.200714,14,0.6301,0.6297,0.7303,0.7347,0.7347
2013-02-04,0.3075,0.30375,0.304,0.280636,27.870001,28.02,27.42,22.345701,19.21146,18.975725,18.994493,18.972719,1668.0,1676.5,1661.59997558594,1513.17,1513.17,2749.3999,2755.6499,2715.51,2715.6799,6246.84,6347.26,2712.669922,2625.169922,2625.169922,2625.0,6025.200195,5987.25,5987,11254.160156,11285.490234,11194.740234,11260.349609,11260.0,23866.800781,23637.179688,23685.009766,23685,16.211071,16.283571,15.785714,15.797143,13,0.6368,0.6349,0.7327,0.73267,0.73267
2013-02-05,0.3055,0.3045,0.311,0.287098,27.620001,27.66,27.360001,22.39456,19.047297,19.005756,19.162663,19.140696,1674.19995117188,1683.40002441406,1666.5,1495.71,1514.96,2727.8201,2762.8601,2720.79,2754.99,6282.76,6296.47,2660.5,2622.649902,2651.209961,2651.0,5948.200195,5956.899902,5957,11105.240234,11170.849609,11046.919922,11046.919922,11047.0,23406.990234,23104.269531,23148.529297,23149,15.858929,16.419287,15.793571,16.351429,14,0.63456,0.63299,0.73697,0.7401,0.7401
2013-02-06,0.3035,0.30175,0.3085,0.28479,27.379999,27.540001,27.25,22.264265,18.995747,18.981482,19.273523,19.251429,1672.19995117188,1678.5,1668.0,1511.29,1512.53,2745.3799,2758.25,2738.47,2746.3501,6295.34,6321.45,2658.469971,2604.629883,2617.350098,2617.0,5988.049805,5959.200195,5959,11236.700195,11498.419922,11232.049805,11463.75,11464.0,23292.429688,23204.050781,23256.929688,23257,16.3025,16.660713,16.16357,16.333929,14,0.6383,0.6378,0.7355,0.7363,0.7363
2013-02-07,0.3075,0.30425,0.30725,0.283636,27.35,27.389999,27.1,22.215405,19.261763,19.156656,19.368118,19.345915,1677.0,1682.09997558594,1663.09997558594,1512.12,1512.9,2746.02,2749.1399,2716.3601,2746.5,6228.42,6313.0,2639.73999,2597.48999,2597.919922,2598.0,5936.450195,5938.799805,5939,11406.320313,11446.80957,11295.620117,11357.070313,11357.0,23259.820313,23134.779297,23177.0,23177,16.544643,16.785713,16.218571,16.722143,14,0.6384,0.63425,0.736616,0.73943,0.73943
2013-02-08,0.30925,0.30725,0.30925,0.285482,27.35,27.709999,27.309999,22.435274,19.522774,19.508509,19.653904,19.631372,1671.5,1672.5,1664.80004882812,1509.39,1518.3101,2761.05,2780.1299,2760.3899,2775.5601,6263.93,6278.07,2631.820068,2598.290039,2630.300049,2630.0,5929.100098,5903.5,5904,11179.969727,11299.709961,11135.889648,11153.160156,11153.0,23101.089844,23101.089844,23215.160156,23215,16.928572,17.100357,16.723213,16.963572,15,0.6365,0.6312,0.744713,0.74686,0.74686
2013-02-11,0.31175,0.30875,0.31275,0.288713,27.65,27.92,27.5,22.687721,19.479479,19.363113,19.58008,19.557634,1666.5,1668.0,1643.69995117188,1517.9301,1518.3101,2774.4399,2777.1299,2766.3101,2774.6399,6277.06,6294.81,2641.580078,2613.389893,2622.610107,2623.0,5920.049805,5897.850098,5898,11263.344727,11380.1748045,11239.665039,11261.1401365,11261.0,23280.7001955,23200.8447265,23314.205078,23314,17.017857,17.319286,16.901787,17.140356,15,0.6329,0.63248,0.745651,0.74804,0.74804
2013-02-12,0.31,0.3095,0.31075,0.286867,27.879999,28.0,27.75,22.704004,19.563313,19.503754,19.537037,19.514641,1643.80004882812,1650.40002441406,1642.40002441406,1517.01,1522.29,2771.1599,2776.71,2761.4099,2762.6201,6338.38,6338.38,2648.830078,2613.26001,2648.830078,2649.0,5894.350098,5922.5,5923,11346.719727,11460.639648,11343.44043,11369.120117,11369.0,23370.50537125,23250.72216775,23363.727539,23364,17.125357,17.227858,16.705,16.710714,14,0.6387,0.63828,0.7422,0.74607,0.74607
2013-02-13,0.311,0.30825,0.30925,0.285482,27.93,28.110001,27.879999,22.82617,19.522774,19.518768,19.591091,19.568632,1652.19995117188,1652.30004882812,1640.19995117188,1519.4301,1524.6899,2770.7,2783.1899,2765.04,2773.77,6359.11,6384.7,2666.649902,2641.629883,2656.860107,2657.0,5943.149902,5932.950195,5933,11333.719727,11365.269531,11196.660156,11251.410156,11251.0,23415.407959125,23275.660888375,23388.4887695,23388,16.686071,16.915714,16.543571,16.678928,14,0.6379,0.6373,0.739749,0.74338,0.74338
